datetime,position,value
2014-04-11 16:37:29,ai0,-0.00105
2014-04-11 16:37:29,ai2,0.00167
2014-04-11 16:37:29,ai3,0.01105
2014-04-11 16:37:29,ai4,0.00632
2014-04-11 16:37:29,ai5,0.00093
2014-04-11 16:37:29,ai6,-0.00123
2014-04-11 16:37:29,ai8,-0.00104
2014-04-11 16:37:29,ai9,-0.00102
2014-04-11 16:37:29,ai10,-0.00101
2014-04-11 16:37:29,ai7,-0.0246
2014-04-11 16:37:30,ai0,-0.00187
2014-04-11 16:37:30,ai2,-0.00244
2014-04-11 16:37:30,ai3,-0.00704
2014-04-11 16:37:30,ai4,0.00632
2014-04-11 16:37:30,ai5,0.00052
2014-04-11 16:37:30,ai6,0.00034
2014-04-11 16:37:30,ai8,-0.001
2014-04-11 16:37:30,ai9,-0.00103
2014-04-11 16:37:30,ai10,-0.00098
2014-04-11 16:37:30,ai7,-0.02461
2014-04-11 16:37:31,ai0,-0.00064
2014-04-11 16:37:31,ai2,-0.00203
2014-04-11 16:37:31,ai3,-0.00211
2014-04-11 16:37:31,ai4,0.00056
2014-04-11 16:37:31,ai5,-0.00031
2014-04-11 16:37:31,ai6,-0.0025
2014-04-11 16:37:31,ai8,-0.00102
2014-04-11 16:37:31,ai9,-0.00099
2014-04-11 16:37:31,ai10,-0.00099
2014-04-11 16:37:31,ai7,-0.0246
2014-04-11 16:37:32,ai0,0.00018
2014-04-11 16:37:32,ai2,0.00085
2014-04-11 16:37:32,ai3,-0.00457
2014-04-11 16:37:32,ai4,0.00344
2014-04-11 16:37:32,ai5,0.00052
2014-04-11 16:37:32,ai6,-0.00652
2014-04-11 16:37:32,ai8,-0.00114
2014-04-11 16:37:32,ai9,-0.00104
2014-04-11 16:37:32,ai10,-0.00102
2014-04-11 16:37:32,ai7,-0.02463
2014-04-11 16:37:33,ai0,-0.00105
2014-04-11 16:37:33,ai2,-0.00121
2014-04-11 16:37:33,ai3,-0.00498
2014-04-11 16:37:33,ai4,-0.00314
2014-04-11 16:37:33,ai5,0.00093
2014-04-11 16:37:33,ai6,-0.00688
2014-04-11 16:37:33,ai8,-0.00102
2014-04-11 16:37:33,ai9,-0.00099
2014-04-11 16:37:33,ai10,-0.00102
2014-04-11 16:37:33,ai7,-0.0246
2014-04-11 16:37:34,ai0,-0.00229
2014-04-11 16:37:34,ai2,0.00043
2014-04-11 16:37:34,ai3,-0.01444
2014-04-11 16:37:34,ai4,0.00139
2014-04-11 16:37:34,ai5,0.00093
2014-04-11 16:37:34,ai6,-0.00915
2014-04-11 16:37:34,ai8,-0.00108
2014-04-11 16:37:34,ai9,-0.00089
2014-04-11 16:37:34,ai10,-0.00099
2014-04-11 16:37:34,ai7,-0.0246
2014-04-11 16:37:35,ai0,-0.00516
2014-04-11 16:37:35,ai2,-0.00327
2014-04-11 16:37:35,ai3,0.00571
2014-04-11 16:37:35,ai4,-0.00026
2014-04-11 16:37:35,ai5,0.00052
2014-04-11 16:37:35,ai6,-0.01136
2014-04-11 16:37:35,ai8,-0.00096
2014-04-11 16:37:35,ai9,-0.00106
2014-04-11 16:37:35,ai10,-0.00099
2014-04-11 16:37:35,ai7,-0.0246
2014-04-11 16:37:36,ai0,-0.00105
2014-04-11 16:37:36,ai2,0.00085
2014-04-11 16:37:36,ai3,0.00571
2014-04-11 16:37:36,ai4,-0.00231
2014-04-11 16:37:36,ai5,0.00134
2014-04-11 16:37:36,ai6,-0.01107
2014-04-11 16:37:36,ai8,-0.00079
2014-04-11 16:37:36,ai9,-0.00108
2014-04-11 16:37:36,ai10,-0.00103
2014-04-11 16:37:36,ai7,-0.0246
2014-04-11 16:37:37,ai0,-0.00146
2014-04-11 16:37:37,ai2,0.00043
2014-04-11 16:37:37,ai3,0.00077
2014-04-11 16:37:37,ai4,0.00262
2014-04-11 16:37:37,ai5,0.00093
2014-04-11 16:37:37,ai6,-0.01418
2014-04-11 16:37:37,ai8,-0.00092
2014-04-11 16:37:37,ai9,-0.00103
2014-04-11 16:37:37,ai10,-0.00109
2014-04-11 16:37:37,ai7,-0.0246
2014-04-11 16:37:38,ai0,0.001
2014-04-11 16:37:38,ai2,-0.00203
2014-04-11 16:37:38,ai3,-0.00211
2014-04-11 16:37:38,ai4,0.00632
2014-04-11 16:37:38,ai5,0.00011
2014-04-11 16:37:38,ai6,-0.01245
2014-04-11 16:37:38,ai8,-0.00102
2014-04-11 16:37:38,ai9,-0.00103
2014-04-11 16:37:38,ai10,-0.0013
2014-04-11 16:37:38,ai7,-0.0246
2014-04-11 16:37:39,ai0,-0.00064
2014-04-11 16:37:39,ai2,-0.00162
2014-04-11 16:37:39,ai3,0.00941
2014-04-11 16:37:39,ai4,-0.00067
2014-04-11 16:37:39,ai5,0.00093
2014-04-11 16:37:39,ai6,-0.0086
2014-04-11 16:37:39,ai8,-0.00091
2014-04-11 16:37:39,ai9,-0.00104
2014-04-11 16:37:39,ai10,-0.00103
2014-04-11 16:37:39,ai7,-0.0246
2014-04-11 16:37:40,ai0,0.00224
2014-04-11 16:37:40,ai2,0.00742
2014-04-11 16:37:40,ai3,0.00776
2014-04-11 16:37:40,ai4,0.00303
2014-04-11 16:37:40,ai5,0.00052
2014-04-11 16:37:40,ai6,-0.00475
2014-04-11 16:37:40,ai8,-0.001
2014-04-11 16:37:40,ai9,-0.00105
2014-04-11 16:37:40,ai10,-0.00105
2014-04-11 16:37:40,ai7,-0.0246
2014-04-11 16:37:41,ai0,-0.00064
2014-04-11 16:37:41,ai2,-0.0045
2014-04-11 16:37:41,ai3,0.00201
2014-04-11 16:37:41,ai4,0.0055
2014-04-11 16:37:41,ai5,-0.00072
2014-04-11 16:37:41,ai6,0.00112
2014-04-11 16:37:41,ai8,-0.00107
2014-04-11 16:37:41,ai9,-0.001
2014-04-11 16:37:41,ai10,-0.00102
2014-04-11 16:37:41,ai7,-0.0246
2014-04-11 16:37:42,ai0,0.00059
2014-04-11 16:37:42,ai2,0.0103
2014-04-11 16:37:42,ai3,-5e-05
2014-04-11 16:37:42,ai4,0.0018
2014-04-11 16:37:42,ai5,0.00134
2014-04-11 16:37:42,ai6,0.00531
2014-04-11 16:37:42,ai8,-0.00097
2014-04-11 16:37:42,ai9,-0.00097
2014-04-11 16:37:42,ai10,-0.00101
2014-04-11 16:37:42,ai7,-0.0246
2014-04-11 16:37:43,ai0,-0.00023
2014-04-11 16:37:43,ai2,0.00085
2014-04-11 16:37:43,ai3,-0.00293
2014-04-11 16:37:43,ai4,0.00221
2014-04-11 16:37:43,ai5,0.00011
2014-04-11 16:37:43,ai6,0.00716
2014-04-11 16:37:43,ai8,-0.00102
2014-04-11 16:37:43,ai9,-0.00102
2014-04-11 16:37:43,ai10,-0.00098
2014-04-11 16:37:43,ai7,-0.0246
2014-04-11 16:37:44,ai0,0.00059
2014-04-11 16:37:44,ai2,-0.0008
2014-04-11 16:37:44,ai3,0.00776
2014-04-11 16:37:44,ai4,0.00015
2014-04-11 16:37:44,ai5,-0.00072
2014-04-11 16:37:44,ai6,0.00789
2014-04-11 16:37:44,ai8,-0.00099
2014-04-11 16:37:44,ai9,-0.00101
2014-04-11 16:37:44,ai10,-0.00099
2014-04-11 16:37:44,ai7,-0.0246
2014-04-11 16:37:45,ai0,-0.00352
2014-04-11 16:37:45,ai2,-0.00121
2014-04-11 16:37:45,ai3,-0.00581
2014-04-11 16:37:45,ai4,0.00591
2014-04-11 16:37:45,ai5,-0.00195
2014-04-11 16:37:45,ai6,0.00597
2014-04-11 16:37:45,ai8,-0.00104
2014-04-11 16:37:45,ai9,-0.00102
2014-04-11 16:37:45,ai10,-0.00102
2014-04-11 16:37:45,ai7,-0.0246
2014-04-11 16:37:46,ai0,-0.00105
2014-04-11 16:37:46,ai2,-0.00039
2014-04-11 16:37:46,ai3,0.00077
2014-04-11 16:37:46,ai4,0.00056
2014-04-11 16:37:46,ai5,-0.00031
2014-04-11 16:37:46,ai6,0.00531
2014-04-11 16:37:46,ai8,-0.00098
2014-04-11 16:37:46,ai9,-0.00101
2014-04-11 16:37:46,ai10,-0.001
2014-04-11 16:37:46,ai7,-0.0246
2014-04-11 16:37:47,ai0,0.00265
2014-04-11 16:37:47,ai2,0.00742
2014-04-11 16:37:47,ai3,-0.00046
2014-04-11 16:37:47,ai4,-0.00231
2014-04-11 16:37:47,ai5,0.00093
2014-04-11 16:37:47,ai6,0.00412
2014-04-11 16:37:47,ai8,-0.00102
2014-04-11 16:37:47,ai9,-0.00103
2014-04-11 16:37:47,ai10,-0.00103
2014-04-11 16:37:47,ai7,-0.0246
2014-04-11 16:37:48,ai0,0.00594
2014-04-11 16:37:48,ai2,0.00249
2014-04-11 16:37:48,ai3,0.00612
2014-04-11 16:37:48,ai4,0.00426
2014-04-11 16:37:48,ai5,-0.00031
2014-04-11 16:37:48,ai6,0.00386
2014-04-11 16:37:48,ai8,-0.00106
2014-04-11 16:37:48,ai9,-0.00106
2014-04-11 16:37:48,ai10,-0.00103
2014-04-11 16:37:48,ai7,-0.0246
2014-04-11 16:37:49,ai0,0.00183
2014-04-11 16:37:49,ai2,-0.00162
2014-04-11 16:37:49,ai3,0.01105
2014-04-11 16:37:49,ai4,0.00056
2014-04-11 16:37:49,ai5,0.00134
2014-04-11 16:37:49,ai6,0.00275
2014-04-11 16:37:49,ai8,-0.00092
2014-04-11 16:37:49,ai9,-0.0011
2014-04-11 16:37:49,ai10,-0.00107
2014-04-11 16:37:49,ai7,-0.02461
2014-04-11 16:37:50,ai0,0.00183
2014-04-11 16:37:50,ai2,-0.00203
2014-04-11 16:37:50,ai3,0.00077
2014-04-11 16:37:50,ai4,0.00015
2014-04-11 16:37:50,ai5,0.00011
2014-04-11 16:37:50,ai6,0.00023
2014-04-11 16:37:50,ai8,-0.00104
2014-04-11 16:37:50,ai9,-0.0007
2014-04-11 16:37:50,ai10,-0.00103
2014-04-11 16:37:50,ai7,-0.0246
2014-04-11 16:37:51,ai0,-0.0027
2014-04-11 16:37:51,ai2,0.00208
2014-04-11 16:37:51,ai3,-0.00334
2014-04-11 16:37:51,ai4,0.00015
2014-04-11 16:37:51,ai5,0.00011
2014-04-11 16:37:51,ai6,-0.00424
2014-04-11 16:37:51,ai8,-0.00125
2014-04-11 16:37:51,ai9,-0.00118
2014-04-11 16:37:51,ai10,-0.00093
2014-04-11 16:37:51,ai7,-0.02458
2014-04-11 16:37:52,ai0,0.00018
2014-04-11 16:37:52,ai2,-0.00039
2014-04-11 16:37:52,ai3,0.00529
2014-04-11 16:37:52,ai4,0.0018
2014-04-11 16:37:52,ai5,-0.00154
2014-04-11 16:37:52,ai6,-0.00671
2014-04-11 16:37:52,ai8,-0.00089
2014-04-11 16:37:52,ai9,-0.00108
2014-04-11 16:37:52,ai10,-0.00098
2014-04-11 16:37:52,ai7,-0.0246
2014-04-11 16:37:53,ai0,0.00676
2014-04-11 16:37:53,ai2,0.00126
2014-04-11 16:37:53,ai3,0.00077
2014-04-11 16:37:53,ai4,0.00098
2014-04-11 16:37:53,ai5,-0.00072
2014-04-11 16:37:53,ai6,-0.00658
2014-04-11 16:37:53,ai8,-0.00098
2014-04-11 16:37:53,ai9,-0.00111
2014-04-11 16:37:53,ai10,-0.00126
2014-04-11 16:37:53,ai7,-0.0246
2014-04-11 16:37:54,ai0,0.00183
2014-04-11 16:37:54,ai2,-0.00244
2014-04-11 16:37:54,ai3,-0.01485
2014-04-11 16:37:54,ai4,-0.00026
2014-04-11 16:37:54,ai5,-0.00031
2014-04-11 16:37:54,ai6,-0.00516
2014-04-11 16:37:54,ai8,-0.00106
2014-04-11 16:37:54,ai9,-0.00085
2014-04-11 16:37:54,ai10,-0.00119
2014-04-11 16:37:54,ai7,-0.02461
2014-04-11 16:37:55,ai0,-0.00023
2014-04-11 16:37:55,ai2,-0.00327
2014-04-11 16:37:55,ai3,0.00324
2014-04-11 16:37:55,ai4,-0.00108
2014-04-11 16:37:55,ai5,0.00011
2014-04-11 16:37:55,ai6,0.00074
2014-04-11 16:37:55,ai8,-0.00097
2014-04-11 16:37:55,ai9,-0.00094
2014-04-11 16:37:55,ai10,-0.001
2014-04-11 16:37:55,ai7,-0.02459
2014-04-11 16:37:56,ai0,-0.0027
2014-04-11 16:37:56,ai2,0.00126
2014-04-11 16:37:56,ai3,-0.00128
2014-04-11 16:37:56,ai4,0.00303
2014-04-11 16:37:56,ai5,-0.00113
2014-04-11 16:37:56,ai6,0.00463
2014-04-11 16:37:56,ai8,-0.00152
2014-04-11 16:37:56,ai9,-0.00107
2014-04-11 16:37:56,ai10,-0.00103
2014-04-11 16:37:56,ai7,-0.02459
2014-04-11 16:37:57,ai0,-0.0027
2014-04-11 16:37:57,ai2,-0.00491
2014-04-11 16:37:57,ai3,0.00488
2014-04-11 16:37:57,ai4,0.0018
2014-04-11 16:37:57,ai5,-0.00072
2014-04-11 16:37:57,ai6,0.00547
2014-04-11 16:37:57,ai8,-0.00104
2014-04-11 16:37:57,ai9,-0.00106
2014-04-11 16:37:57,ai10,-0.00128
2014-04-11 16:37:57,ai7,-0.0246
2014-04-11 16:37:58,ai0,-0.00311
2014-04-11 16:37:58,ai2,-0.00327
2014-04-11 16:37:58,ai3,-0.00211
2014-04-11 16:37:58,ai4,-0.00108
2014-04-11 16:37:58,ai5,0.00298
2014-04-11 16:37:58,ai6,0.00738
2014-04-11 16:37:58,ai8,-0.00101
2014-04-11 16:37:58,ai9,-0.00103
2014-04-11 16:37:58,ai10,-0.00107
2014-04-11 16:37:58,ai7,-0.02461
2014-04-11 16:37:59,ai0,0.00306
2014-04-11 16:37:59,ai2,-0.00573
2014-04-11 16:37:59,ai3,-0.00457
2014-04-11 16:37:59,ai4,0.00098
2014-04-11 16:37:59,ai5,-0.00113
2014-04-11 16:37:59,ai6,0.00819
2014-04-11 16:37:59,ai8,-0.00089
2014-04-11 16:37:59,ai9,-0.00112
2014-04-11 16:37:59,ai10,-0.0009
2014-04-11 16:37:59,ai7,-0.0246
2014-04-11 16:38:00,ai0,-0.00023
2014-04-11 16:38:00,ai2,0.00085
2014-04-11 16:38:00,ai3,-0.00128
2014-04-11 16:38:00,ai4,-0.00314
2014-04-11 16:38:00,ai5,-0.00072
2014-04-11 16:38:00,ai6,0.00761
2014-04-11 16:38:00,ai8,-0.00075
2014-04-11 16:38:00,ai9,-0.0007
2014-04-11 16:38:00,ai10,-0.00145
2014-04-11 16:38:00,ai7,-0.0246
2014-04-11 16:38:01,ai0,0.00594
2014-04-11 16:38:01,ai2,-0.0008
2014-04-11 16:38:01,ai3,-0.00951
2014-04-11 16:38:01,ai4,-0.00108
2014-04-11 16:38:01,ai5,-0.00072
2014-04-11 16:38:01,ai6,0.00596
2014-04-11 16:38:01,ai8,-0.00104
2014-04-11 16:38:01,ai9,-0.00112
2014-04-11 16:38:01,ai10,-0.00067
2014-04-11 16:38:01,ai7,-0.0246
2014-04-11 16:38:02,ai0,-0.00352
2014-04-11 16:38:02,ai2,0.00043
